Scheme name ,Category,description,
LaQshya (Labour room Quality improvement Initiative),Health,LaQshya (Labour room Quality improvement Initiative) CS MoHFW 2017 Health To improve quality of care in labour room and maternity Operation Theatre.,
SUMAN (Surakshit Matritva Aashwasan),Health,SUMAN (Surakshit Matritva Aashwasan) CS MoHFW 2019 Health To provide assured dignified respectful and quality healthcare at no cost and zero tolerance for denial of services to every woman and newborn visiting a public health facility.,
Mission Parivar Vikas ,Health,Mission Parivar Vikas CS MoHFW 2016 Health To accelerate access to high-quality family planning choices based on information reliable services and supplies.,
E-Sanjeevani ,Health,E-Sanjeevani CS MoHFW 2019 Health A national telemedicine service.,
Prime Minister's Overarching Scheme for Holistic Nourishmen,Health,Prime Minister's Overarching Scheme for Holistic Nourishment(POSHAN Abhiyaan) CSS MoWCD 2018 Health and Nutrition To reduce stunting under-nutrition anemia and low birth weight in children.,
PM Swasthya Suraksha Yojana(PMSSY PM Health Protection Sche,Health,PM Swasthya Suraksha Yojana(PMSSY PM Health Protection Scheme) CS MoHFW 2003 Health Improving distribution and accessibility of health services. New AIIMS will be constructed under the scheme.,
PM Poshan Shakti Nirman Abhiyaan,Health,"PM Poshan Shakti Nirman Abhiyaan(PM-POSHAN, Prime Minister's Overarching Scheme for Holistic Nourishment, (lit) PM Nutrition Power Building Scheme) CSS MoWCD 2021[N] Health, Education Revamped version of 1995 Midday Meal Scheme to provide free lunch to school children. Financial outlay in 2022 was â‚¹10,233 crore (equivalent to â‚¹110 billion or US$1.4 billion in 2023). Grouped under the umbrella scheme ""Saksham Anganwadi and POSHAN 2...",
"THE REMISSION OF DUTIES AND TAXES ON EXPORTED 
PRODUCTS (RoDTEP)",Industry,"Provides a refund of central, state, and local duties and taxes levied on exported products to boost global competitiveness.",
"UTTAR POORVA TRANSFORMATIVE INDUSTRIALIZATION 
SCHEME (UNNATI)",Industry,A central sector scheme for gainful employment and industrial development in the North Eastern Region of India.,
PM-DEVINE,Regional Development,A Central Sector scheme to address development gaps and enable livelihood activities for youth and women in the North East.,
PM Adarsh Gram Yojana(PM Model Village Scheme) ,Rural,PM Adarsh Gram Yojana(PM Model Village Scheme) â€” MoRD 2010 Model Village Integrated development of Schedule Caste majority villages.,
National Creche Scheme ,Rural,National Creche Scheme CSS MoWCD 2006 Rajiv Gandhi National CrÃ¨che Scheme for Working Mothers,
Pradhan Mantri Awas Yojana(PMAY,Rural,Pradhan Mantri Awas Yojana(PMAY) CSS MoHUA and MoRD 2015 Housing To provide affordable housing for all by 2022.,
Deendayal Antyodaya Yojana(DAY-NRLM,Rural,Deendayal Antyodaya Yojana(DAY-NRLM) CSS MoRD 2011 Rural Development To reduce poverty by promoting sustainable livelihood.,
Mission Shakti (Mission for Empowerment and Protection of Wo,Rural,Mission Shakti (Mission for Empowerment and Protection of Women) CSS MoWCD 2022 Women's Empowerment This mission aims to create a safe and secure environment for women and empower them through various sub-schemes like Sambal and Samarthya.,
Beti Bachao Beti Padhao(BBBP,Rural,Beti Bachao Beti Padhao(BBBP) CS MoWCD 2015 Social Welfare To address the declining Child Sex Ratio and empower the girl child.,
Sukanya Samriddhi Yojana(SSY,Rural,Sukanya Samriddhi Yojana(SSY) CS MoWCD 2015 Savings Scheme A small savings scheme for the girl child.,
Jal Jeevan Mission(JJM,Rural,Jal Jeevan Mission(JJM) CSS MoJS 2019 Water To provide functional household tap connections to all rural households by 2024.,
Mahatma Gandhi National Rural Employment Guarantee Act(MGNREGA,Rural,Mahatma Gandhi National Rural Employment Guarantee Act(MGNREGA) CSS MoRD 2005 Rural Employment To guarantee at least 100 days of wage employment in a financial year to every rural household.,
Pradhan Mantri Garib Kalyan Anna Yojana(PMGKAY) ,Rural,Pradhan Mantri Garib Kalyan Anna Yojana(PMGKAY) CS MoCAFPD 2020 Food Security To provide free food grains to the poor during the COVID-19 pandemic.,
Antyodaya Anna Yojana(AAY) ,Rural,Antyodaya Anna Yojana(AAY) CS MoCAFPD 2000 Food Security To provide highly subsidized food grains to the poorest of the poor.,
National Food Security Act(NFSA) ,Rural,National Food Security Act(NFSA) CS MoCAFPD 2013 Food Security Legal entitlement to subsidized food grains for up to 75% of the rural and 50% of the urban population.,
One Nation One Ration Card(ONORC) ,Rural,One Nation One Ration Card(ONORC) CS MoCAFPD 2019 Food Security To ensure that all beneficiaries can access their food grains anywhere in the country.,
Pradhan Mantri Gramin Awas Yojana(PMAY-G),Rural,Pradhan Mantri Gramin Awas Yojana(PMAY-G) CSS MoRD 2016 Housing To provide a pucca house with basic amenities to all houseless householders and those households living in kutcha and dilapidated houses by 2022.,
Rashtriya Gram Swaraj Abhiyan(RGSA ),Rural,Rashtriya Gram Swaraj Abhiyan(RGSA National Village Self-Governance Mission) CSS MoPR 2018 Rural development To strengthen Panchayati Raj Institutions (PRIs) across the country.,
Aspirational Districts Programme ,Rural,Aspirational Districts Programme CS NITI Aayog 2018 Regional Development To improve the socio-economic status of 112 most backward districts across India.,
Lakhpati Didi Scheme,Rural ,Empowers rural women in Self-Help Groups to earn a sustainable income of at least 1 lakh per annum.,
PM Vishwakarma Yojana,Skill,"Uplifts traditional artisans through recognition, skill upgradation, toolkit incentives, and collateral-free loans.",
PM Vishwakarma Scheme ,Skill,PM Vishwakarma Scheme CS MoMSME 2023 Skill To support traditional artisans and craftspeople.,
Pradhan Mantri Kaushal Vikas Yojana(PMKVY),Skill,Pradhan Mantri Kaushal Vikas Yojana(PMKVY) CS MoMSDE 2015 Skill To enable a large number of Indian youth to take up industry-relevant skill training.,
National Apprenticeship Promotion Scheme(NAPS) ,Skill,National Apprenticeship Promotion Scheme(NAPS) CS MoMSDE 2016 Skill To promote apprenticeship training in the country.,
Startup India ,Skill,Startup India CS MoCI 2016 Entrepreneurship To build a strong ecosystem for nurturing innovation and Startups in the country.,
Prime Minister's Employment Generation Programme(PMEGP),Skill,Prime Minister's Employment Generation Programme(PMEGP) CS MoMSME 2008 Employment To generate employment opportunities through the establishment of micro-enterprises.,
Deendayal Upadhyaya Grameen Kaushalya Yojana(DDU),Skill,"Deendayal Upadhyaya Grameen Kaushalya Yojana(DDU-GKY, Deen Dayal Upadhyaya Rural Skills Schemes) â€” MRD 2014 Skill A scheme to engage rural youth, especially BPL and SC ST segments of the population, in gainful employment through skill training programmes",
Amrit Bharat Station Scheme ,Transport,"Amrit Bharat Station Scheme CSS MoR 2023 Transportation Scheme to redevelop existing railway stations and make stations more comfortable and convenient for passengers, and to transform them into vibrant city centers.",
Smart Cities Mission,Transport,"Smart Cities Mission CSS MoHUA 2015 Urban Redevelopment, retrofitting, greenfield development of 100 cities. Large diversity in success of implementation.",
PM eBus Seva ,Transport,PM eBus Seva CSS MoHUA 2023 Urban Transport PM-eBus Seva to deploy 10,000 electric buses in 169 cities.
Digital India Programme ,Transport,Digital India Programme CS MeitY 2015 Infrastructure and Services To ensure that government services are available to citizens electronically and to improve online infrastructure.,
Atal Mission for Rejuvenation and Urban Transformation(AMRUT),Transport,Atal Mission for Rejuvenation and Urban Transformation(AMRUT) CSS MoHUA 2015 Urban To provide basic services (e.g. water supply sewerage urban transport) to households and build amenities in cities which will improve the quality of life for all especially the poor and the disadvantaged.,
Pradhan Mantri Gram Sadak Yojana(PMGSY),Transport,Pradhan Mantri Gram Sadak Yojana(PMGSY) CSS MoRD 2000 Rural Development To provide all-weather road connectivity to unconnected habitations.,
National Heritage City Development and Augmentation Yojana,Transport,National Heritage City Development and Augmentation Yojana(HRIDAY) CS MoHUA 2015 Urban Development To preserve and rejuvenate the soul of heritage cities.,
UDAN CS MoCA 2016 Aviation Regional Connectivity Scheme (RCS),Transport,UDAN CS MoCA 2016 Aviation Regional Connectivity Scheme (RCS) - UDAN promotes affordable air travel by connecting unserved and underserved airports. It boosts regional connectivity and supports infrastructure upgrades for tier-2 and tier-3 cities.,
PM SVANidhi,Urban Development,"Provides collateral-free working capital loans of 10,000 to 50,000 to street vendors to support their livelihoods.",
Jal Jeevan Mission,Water,Aims to provide 55 liters of potable water per capita per day to every rural household through tap water connections.,
Namami Gange Programme ,Water,Namami Gange Programme CS MoWR 2014 Water To rejuvenate the river Ganga.,
Swachh Bharat Abhiyan(SBA),Water,Swachh Bharat Abhiyan(SBA) CSS MoHUA and MoRD 2014 Sanitation To achieve universal sanitation coverage and to make India Open Defecation Free.,
