scheme_name,category,description
"THE REMISSION OF DUTIES AND TAXES ON EXPORTED 
PRODUCTS (RoDTEP)",industry,"provides a refund of central, state, and local duties and taxes levied on exported products to boost global competitiveness."
"UTTAR POORVA TRANSFORMATIVE INDUSTRIALIZATION 
SCHEME (UNNATI)",industry,a central sector scheme for gainful employment and industrial development in the north eastern region of india.
PM-DEVINE,regional development,a central sector scheme to address development gaps and enable livelihood activities for youth and women in the north east.
PM Adarsh Gram Yojana(PM Model Village Scheme),rural,pm adarsh gram yojana(pm model village scheme)   mord 2010 model village integrated development of schedule caste majority villages.
National Creche Scheme,rural,national creche scheme css mowcd 2006 rajiv gandhi national cr che scheme for working mothers
Pradhan Mantri Awas Yojana(PMAY,rural,pradhan mantri awas yojana(pmay) css mohua and mord 2015 housing to provide affordable housing for all by 2022.
Deendayal Antyodaya Yojana(DAY-NRLM,rural,deendayal antyodaya yojana(day-nrlm) css mord 2011 rural development to reduce poverty by promoting sustainable livelihood.
Mission Shakti (Mission for Empowerment and Protection of Wo,rural,mission shakti (mission for empowerment and protection of women) css mowcd 2022 women's empowerment this mission aims to create a safe and secure environment for women and empower them through various sub-schemes like sambal and samarthya.
Beti Bachao Beti Padhao(BBBP,rural,beti bachao beti padhao(bbbp) cs mowcd 2015 social welfare to address the declining child sex ratio and empower the girl child.
Sukanya Samriddhi Yojana(SSY,rural,sukanya samriddhi yojana(ssy) cs mowcd 2015 savings scheme a small savings scheme for the girl child.
Jal Jeevan Mission(JJM,rural,jal jeevan mission(jjm) css mojs 2019 water to provide functional household tap connections to all rural households by 2024.
Mahatma Gandhi National Rural Employment Guarantee Act(MGNREGA,rural,mahatma gandhi national rural employment guarantee act(mgnrega) css mord 2005 rural employment to guarantee at least 100 days of wage employment in a financial year to every rural household.
Pradhan Mantri Garib Kalyan Anna Yojana(PMGKAY),rural,pradhan mantri garib kalyan anna yojana(pmgkay) cs mocafpd 2020 food security to provide free food grains to the poor during the covid-19 pandemic.
Antyodaya Anna Yojana(AAY),rural,antyodaya anna yojana(aay) cs mocafpd 2000 food security to provide highly subsidized food grains to the poorest of the poor.
National Food Security Act(NFSA),rural,national food security act(nfsa) cs mocafpd 2013 food security legal entitlement to subsidized food grains for up to 75% of the rural and 50% of the urban population.
One Nation One Ration Card(ONORC),rural,one nation one ration card(onorc) cs mocafpd 2019 food security to ensure that all beneficiaries can access their food grains anywhere in the country.
Pradhan Mantri Gramin Awas Yojana(PMAY-G),rural,pradhan mantri gramin awas yojana(pmay-g) css mord 2016 housing to provide a pucca house with basic amenities to all houseless householders and those households living in kutcha and dilapidated houses by 2022.
Rashtriya Gram Swaraj Abhiyan(RGSA ),rural,rashtriya gram swaraj abhiyan(rgsa national village self-governance mission) css mopr 2018 rural development to strengthen panchayati raj institutions (pris) across the country.
Aspirational Districts Programme,rural,aspirational districts programme cs niti aayog 2018 regional development to improve the socio-economic status of 112 most backward districts across india.
Lakhpati Didi Scheme,rural ,empowers rural women in self-help groups to earn a sustainable income of at least 1 lakh per annum.
PM Vishwakarma Yojana,skill,"uplifts traditional artisans through recognition, skill upgradation, toolkit incentives, and collateral-free loans."
PM Vishwakarma Scheme,skill,pm vishwakarma scheme cs momsme 2023 skill to support traditional artisans and craftspeople.
Pradhan Mantri Kaushal Vikas Yojana(PMKVY),skill,pradhan mantri kaushal vikas yojana(pmkvy) cs momsde 2015 skill to enable a large number of indian youth to take up industry-relevant skill training.
National Apprenticeship Promotion Scheme(NAPS),skill,national apprenticeship promotion scheme(naps) cs momsde 2016 skill to promote apprenticeship training in the country.
Startup India,skill,startup india cs moci 2016 entrepreneurship to build a strong ecosystem for nurturing innovation and startups in the country.
Prime Minister's Employment Generation Programme(PMEGP),skill,prime minister's employment generation programme(pmegp) cs momsme 2008 employment to generate employment opportunities through the establishment of micro-enterprises.
Deendayal Upadhyaya Grameen Kaushalya Yojana(DDU),skill,"deendayal upadhyaya grameen kaushalya yojana(ddu-gky, deen dayal upadhyaya rural skills schemes)   mrd 2014 skill a scheme to engage rural youth, especially bpl and sc st segments of the population, in gainful employment through skill training programmes"
Amrit Bharat Station Scheme,transport,"amrit bharat station scheme css mor 2023 transportation scheme to redevelop existing railway stations and make stations more comfortable and convenient for passengers, and to transform them into vibrant city centers."
Smart Cities Mission,transport,"smart cities mission css mohua 2015 urban redevelopment, retrofitting, greenfield development of 100 cities. large diversity in success of implementation."
PM eBus Seva,transport,pm ebus seva css mohua 2023 urban transport pm-ebus seva to deploy 10
Digital India Programme,transport,digital india programme cs meity 2015 infrastructure and services to ensure that government services are available to citizens electronically and to improve online infrastructure.
Atal Mission for Rejuvenation and Urban Transformation(AMRUT),transport,atal mission for rejuvenation and urban transformation(amrut) css mohua 2015 urban to provide basic services (e.g. water supply sewerage urban transport) to households and build amenities in cities which will improve the quality of life for all especially the poor and the disadvantaged.
Pradhan Mantri Gram Sadak Yojana(PMGSY),transport,pradhan mantri gram sadak yojana(pmgsy) css mord 2000 rural development to provide all-weather road connectivity to unconnected habitations.
National Heritage City Development and Augmentation Yojana,transport,national heritage city development and augmentation yojana(hriday) cs mohua 2015 urban development to preserve and rejuvenate the soul of heritage cities.
UDAN CS MoCA 2016 Aviation Regional Connectivity Scheme (RCS),transport,udan cs moca 2016 aviation regional connectivity scheme (rcs) - udan promotes affordable air travel by connecting unserved and underserved airports. it boosts regional connectivity and supports infrastructure upgrades for tier-2 and tier-3 cities.
PM SVANidhi,urban development,"provides collateral-free working capital loans of 10,000 to 50,000 to street vendors to support their livelihoods."
Jal Jeevan Mission,water,aims to provide 55 liters of potable water per capita per day to every rural household through tap water connections.
Namami Gange Programme,water,namami gange programme cs mowr 2014 water to rejuvenate the river ganga.
Swachh Bharat Abhiyan(SBA),water,swachh bharat abhiyan(sba) css mohua and mord 2014 sanitation to achieve universal sanitation coverage and to make india open defecation free.
